trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,0,-22.783739250780762,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,4,-0.051775274859483966,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,0,32.86566719697917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,0,0.006243388197765265,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,0,7.230353605959298,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,9,-64.46594090817986,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,5,-32.95879805435284,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,0,-44.73423491146075,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,19,20.323670578681842,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,0,21.439625188124044,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,18,11.543145274339764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,2,33.68878354705511,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",35,0,-14.736054119162526,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,3,-13.751910687163047,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
